Age,Country,Party,EPG,Vote
46,Poland,NA,EPP,0
51,Bulgaria,Centre-droit,EPP,0
56,Italy,Droite,IDG,0
31,Malta,Centre-droit,S&D,1
70,Spain,Droite,ECR,0
55,Spain,Centre-droit,S&D,1
43,Sweden,Centre,REG,1
67,Bulgaria,Droite,EPP,0
66,France,Gauche,Greens/EFA,1
38,Bulgaria,Centre,REG,1
55,United Kingdom,Centre-droit,Greens/EFA,1
66,Portugal,Droite,EPP,0
58,Latvia,Centre,S&D,1
51,Germany,Droite,IDG,0
57,United Kingdom,Gauche,None,1
33,Germany,Gauche,Greens/EFA,1
59,France,Centre-droit,S&D,1
35,France,Droite,IDG,0
40,Greece,Centre-droit,S&D,1
61,Belgium,Droite,IDG,0
63,Estonia,Centre,REG,1
66,Hungary,Centre-droit,S&D,1
53,Belgium,Centre-droit,S&D,1
49,Spain,Droite,EPP,0
45,Belgium,Centre,EPP,1
48,Poland,Centre,EPP,0
55,Greece,Gauche,The Left,1
30,France,Gauche,The Left,1
74,Denmark,Gauche,Greens/EFA,1
56,Lithuania,Centre,REG,1
43,Netherlands,Centre,REG,1
49,Italy,Droite,IDG,0
46,Poland,NA,S&D,1
24,France,Droite,IDG,0
51,Germany,Centre-droit,S&D,1
54,Spain,Gauche,The Left,1
63,Italy,Centre-droit,S&D,1
68,Romania,Centre,EPP,0
52,Italy,Droite,IDG,0
49,Spain,Centre,REG,1
70,United Kingdom,Centre,REG,1
39,France,Droite,IDG,0
34,France,Droite,EPP,0
33,Italy,Centre-droit,S&D,1
37,Spain,Droite,EPP,0
65,United Kingdom,Centre,REG,1
51,Slovakia,Centre-droit,S&D,1
36,Netherlands,Droite,EPP,0
50,Germany,Centre,EPP,0
54,Sweden,Centre-droit,S&D,1
27,Austria,Centre-droit,EPP,0
45,Poland,NA,ECR,0
49,France,Centre,REG,1
58,Spain,Centre,REG,1
44,Slovakia,Centre,EPP,0
66,France,Droite,IDG,0
52,France,Centre-droit,Greens/EFA,1
47,Italy,Droite,IDG,0
47,Sweden,Gauche,The Left,1
63,Romania,Centre,EPP,0
64,Czech Republic,Droite,IDG,0
59,Lithuania,Centre-droit,S&D,1
33,Germany,Gauche,Greens/EFA,1
41,Hungary,Droite,NI,0
33,France,Gauche,The Left,1
46,Italy,Centre-droit,S&D,1
57,Italy,Droite,IDG,0
39,Italy,Droite,IDG,0
48,Croatia,Centre-droit,S&D,1
39,Belgium,Gauche,The Left,1
33,Romania,Centre,REG,1
68,Belgium,Centre,ECR,0
48,France,NA,REG,1
42,Germany,Gauche,Greens/EFA,1
52,Slovenia,Centre-droit,S&D,1
34,Belgium,Gauche,Greens/EFA,1
51,Poland,Centre,ECR,0
60,France,Centre,REG,1
36,Germany,Droite,IDG,0
78,Germany,Centre-droit,Greens/EFA,1
49,Romania,Centre,EPP,0
63,Germany,Centre-droit,S&D,1
56,United Kingdom,Droite,NI,0
27,Germany,Centre-droit,S&D,1
49,Germany,NA,NI,1
66,Germany,Gauche,Greens/EFA,1
44,Spain,Droite,ECR,0
79,Poland,Centre,EPP,0
46,Italy,Centre,REG,1
44,Italy,Droite,IDG,0
50,Spain,Centre,REG,1
45,France,Centre,REG,1
59,France,Centre-droit,Greens/EFA,1
40,Italy,Droite,EPP,0
42,Ireland,Gauche,None,1
64,Portugal,Droite,EPP,0
51,Malta,Droite,EPP,0
49,Italy,Droite,IDG,0
43,Germany,Centre,EPP,0
34,Italy,Centre,NI,1
37,Germany,Gauche,Greens/EFA,1
32,Italy,Droite,IDG,0
30,Portugal,Centre-droit,S&D,1
57,France,Centre,REG,1
34,Netherlands,Centre-droit,S&D,1
37,France,Gauche,The Left,1
55,Belgium,Centre,REG,1
65,Italy,Centre-droit,S&D,1
44,United Kingdom,Centre-droit,Greens/EFA,1
61,Denmark,Centre,REG,1
56,Cyprus,Centre,EPP,0
69,Poland,Gauche,S&D,1
65,Slovakia,Centre-droit,S&D,1
51,Italy,Droite,IDG,0
64,United Kingdom,Centre-droit,S&D,1
45,France,Centre-droit,Greens/EFA,1
35,Italy,NA,Greens/EFA,1
57,Italy,Centre-droit,S&D,1
52,Romania,Centre-droit,S&D,1
31,Hungary,Centre,REG,1
30,Malta,Centre-droit,S&D,1
56,Poland,Centre,ECR,0
61,Netherlands,Centre,EPP,0
43,Malta,Centre-droit,S&D,1
51,Ireland,Droite,The Left,1
38,United Kingdom,Centre-droit,S&D,1
37,Sweden,Centre-droit,S&D,1
48,France,Droite,EPP,0
66,Italy,Droite,IDG,0
49,United Kingdom,Droite,NI,0
67,Czech Republic,Droite,IDG,0
65,United Kingdom,Centre,REG,1
61,Italy,Centre-droit,S&D,1
35,France,Centre,REG,1
42,France,Centre-droit,Greens/EFA,1
42,Hungary,Droite,NI,0
40,France,Centre-droit,Greens/EFA,1
43,United Kingdom,Droite,NI,0
64,Belgium,Droite,IDG,0
35,Germany,Gauche,The Left,1
43,Germany,Gauche,Greens/EFA,1
56,Belgium,Centre-droit,Greens/EFA,1
43,France,Droite,EPP,0
47,Hungary,Centre-droit,S&D,1
31,Germany,Centre-droit,EPP,0
32,Hungary,Centre,REG,1
50,Italy,NA,NI,0
50,Italy,Centre,EPP,0
50,Italy,Droite,IDG,0
55,Poland,Centre,EPP,0
33,Germany,Centre,EPP,0
59,France,Centre,REG,1
43,Slovakia,NA,REG,0
40,Bulgaria,Droite,ECR,0
38,Austria,Centre-droit,EPP,0
56,Germany,Centre,EPP,0
43,Netherlands,Centre-droit,Greens/EFA,1
61,Netherlands,Droite,ECR,0
63,Germany,Gauche,The Left,1
37,Germany,Centre,REG,1
44,Germany,Centre-droit,S&D,1
54,Spain,Droite,EPP,0
60,United Kingdom,Centre-droit,Greens/EFA,1
53,France,Centre,REG,1
41,Sweden,Centre,REG,1
54,Germany,Centre-droit,EPP,0
52,Portugal,Droite,EPP,0
40,Spain,Centre-droit,S&D,1
56,Italy,Centre-droit,S&D,1
41,Portugal,Droite,The Left,1
43,Italy,Droite,ECR,0
55,Italy,Droite,ECR,0
50,Italy,Droite,ECR,0
69,Ireland,Centre,EPP,0
47,Ireland,NA,The Left,1
47,Croatia,Centre-droit,REG,1
62,Poland,Centre,ECR,0
59,United Kingdom,Droite,NI,0
43,Belgium,Centre,EPP,1
53,Germany,Gauche,Greens/EFA,1
35,Germany,Gauche,Greens/EFA,1
59,Sweden,Centre-droit,S&D,1
31,Italy,Centre,NI,1
56,Denmark,Centre,REG,1
59,Germany,Centre,EPP,0
49,Hungary,Droite,NI,0
50,Spain,Centre-droit,S&D,1
31,Austria,Centre,REG,1
42,Spain,Centre-droit,S&D,1
75,Spain,Droite,EPP,0
42,Spain,Centre-droit,S&D,1
45,Spain,Centre-droit,S&D,1
44,Spain,Centre-droit,S&D,1
63,France,Droite,IDG,0
65,Germany,Centre-droit,S&D,1
51,Germany,Gauche,Greens/EFA,1
58,Germany,Centre-droit,S&D,1
56,Cyprus,Gauche,The Left,1
45,Greece,Gauche,The Left,1
57,United Kingdom,Centre,REG,1
50,Germany,Gauche,Greens/EFA,1
48,Germany,Centre,EPP,0
63,United Kingdom,Centre-droit,S&D,1
46,United Kingdom,Droite,NI,0
37,United Kingdom,Droite,NI,0
44,Germany,Centre,REG,1
40,France,Centre-droit,S&D,1
67,Luxembourg,Centre,REG,1
43,Spain,Centre-droit,S&D,1
47,Spain,Centre-droit,S&D,1
55,Spain,Droite,EPP,0
26,Czech Republic,Centre-droit,Greens/EFA,1
57,United Kingdom,Centre-droit,S&D,1
47,France,Droite,IDG,0
43,Slovenia,Centre-droit,REG,1
54,France,Centre,REG,1
53,Italy,Centre-droit,S&D,1
35,Portugal,NA,Greens/EFA,1
68,France,Centre,REG,1
57,France,Centre-droit,S&D,1
43,Portugal,Gauche,The Left,1
40,Sweden,Centre-droit,S&D,1
30,Germany,Centre,REG,1
52,Austria,Droite,IDG,0
59,Finland,Droite,IDG,0
58,Poland,Centre,EPP,0
37,Luxembourg,Centre,EPP,0
29,United Kingdom,Droite,ECR,0
58,Germany,Gauche,Greens/EFA,1
64,Finland,Centre-droit,Greens/EFA,1
33,France,Centre,REG,1
51,Netherlands,Gauche,The Left,1
30,United Kingdom,Droite,NI,0
53,Austria,Centre-droit,S&D,1
64,Finland,Centre-droit,S&D,1
70,Germany,Gauche,Greens/EFA,1
45,Poland,Centre,EPP,0
49,Hungary,Droite,NI,0
57,Germany,Centre-droit,EPP,0
55,Sweden,Centre-droit,Greens/EFA,1
57,Hungary,Droite,EPP,0
26,Spain,Centre-droit,S&D,1
61,France,Droite,EPP,0
57,United Kingdom,Centre,REG,1
61,United Kingdom,Centre-droit,S&D,1
49,Bulgaria,Gauche,S&D,1
71,Poland,Centre,EPP,1
40,Finland,Droite,IDG,0
35,Netherlands,Centre,REG,1
47,Latvia,Centre,REG,1
35,Sweden,Centre-droit,S&D,1
56,Netherlands,Centre,REG,1
52,France,Centre-droit,Greens/EFA,1
60,Germany,Centre,EPP,0
62,France,Droite,IDG,0
58,France,Droite,IDG,0
45,Hungary,Droite,NI,0
45,Poland,Centre,EPP,0
59,Netherlands,Centre-droit,S&D,1
57,United Kingdom,Droite,NI,0
30,Slovenia,Centre-droit,REG,1
61,Lithuania,Droite,EPP,0
61,Slovakia,Centre,ECR,0
63,France,Droite,IDG,0
41,Greece,Centre-droit,S&D,1
57,Poland,Centre,EPP,0
57,Estonia,Centre-droit,S&D,1
67,Latvia,Centre,EPP,0
53,Germany,Centre-droit,S&D,1
44,Bulgaria,Centre,EPP,0
39,Belgium,Centre,ECR,0
62,Austria,Centre-droit,EPP,0
40,France,Centre,REG,1
49,Sweden,Centre,REG,1
53,Poland,Centre,ECR,0
53,Finland,Centre,REG,1
60,Greece,Centre,EPP,0
60,France,Centre,REG,1
38,Germany,Gauche,Greens/EFA,1
67,Ireland,Centre,EPP,0
53,Poland,Droite,ECR,0
42,United Kingdom,Centre-droit,S&D,1
60,Cyprus,Gauche,The Left,1
56,Poland,Centre,ECR,0
29,Denmark,Droite,IDG,0
37,Poland,NA,S&D,1
33,Sweden,Centre,EPP,0
49,Greece,Gauche,The Left,1
39,Czech Republic,Centre-droit,Greens/EFA,1
63,Poland,Centre,EPP,0
52,Poland,Centre,ECR,0
29,Germany,Centre,REG,1
44,Hungary,Droite,NI,0
62,Germany,Centre-droit,S&D,1
66,Greece,Gauche,The Left,1
52,Bulgaria,Centre-droit,EPP,0
42,Germany,Droite,IDG,0
66,Poland,Centre,ECR,0
63,Germany,Centre-droit,S&D,1
60,Poland,Centre,ECR,0
63,Lithuania,Droite,EPP,0
48,Sweden,Centre-droit,Greens/EFA,1
63,Germany,Droite,IDG,0
63,Poland,Centre,ECR,0
67,Greece,NA,REG,0
34,Bulgaria,Centre,REG,1
44,Germany,Gauche,Greens/EFA,1
56,Belgium,Gauche,Greens/EFA,1
54,Italy,Droite,IDG,0
64,Germany,Centre-droit,S&D,1
40,Germany,Gauche,Greens/EFA,1
41,France,Droite,IDG,0
61,France,Droite,IDG,0
42,France,Droite,IDG,0
46,Sweden,Centre,EPP,0
35,Netherlands,Droite,EPP,0
71,Poland,NA,S&D,1
54,Germany,Centre,EPP,0
42,Germany,Centre,EPP,0
52,Italy,Droite,IDG,0
55,France,Centre,REG,1
48,United Kingdom,Centre,REG,0
61,United Kingdom,Droite,ECR,0
49,Spain,Droite,EPP,0
62,United Kingdom,Droite,NI,0
39,Spain,Centre-droit,S&D,1
53,Poland,Centre,EPP,0
56,Sweden,Droite,ECR,0
49,Belgium,NA,EPP,1
